Name,Type1,Type2
Kartana,GRASS, STEEL
Guzzlord,DARK, DRAGON
Necrozma,PSYCHIC,
Necrozma,PSYCHIC, STEEL
Necrozma,PSYCHIC, GHOST
Marshadow,FIGHTING, GHOST
Poipole,POISON,
Naganadel,POISON, DRAGON
Stakataka,ROCK, STEEL
Blacephalon,FIRE, GHOST
Meltan,STEEL,
Melmetal,STEEL,
Grookey,GRASS,
Thwackey,GRASS,
Rillaboom,GRASS,
Scorbunny,FIRE,
Raboot,FIRE,
Cinderace,FIRE,
Sobble,WATER,
Drizzile,WATER,
Inteleon,WATER,
Skwovet,NORMAL,
Greedent,NORMAL,
Wooloo,NORMAL,
Dubwool,NORMAL,
Toxel,ELECTRIC, POISON
Toxtricity,ELECTRIC, POISON
Toxtricity,ELECTRIC, POISON
Hatenna,PSYCHIC,
Hattrem,PSYCHIC,
Hatterene,PSYCHIC, FAIRY
Obstagoon,DARK, NORMAL
Perrserker,STEEL,
Cursola,GHOST,
Sirfetch'd,FIGHTING,
Mr. Rime,ICE, PSYCHIC
Runerigus,GROUND, GHOST
Falinks,FIGHTING,
Stonjourner,ROCK,
Morpeko,ELECTRIC, DARK
Morpeko,ELECTRIC, DARK
Dreepy,DRAGON, GHOST
Drakloak,DRAGON, GHOST
Dragapult,DRAGON, GHOST
Zacian,FAIRY,
Zamazenta,FIGHTING,
Zarude,DARK, GRASS
Regieleki,ELECTRIC,
Regidrago,DRAGON,
Wyrdeer,NORMAL, PSYCHIC
Kleavor,BUG, ROCK
Ursaluna,GROUND, NORMAL
Sneasler,FIGHTING, POISON
Overqwil,DARK, POISON
Enamorus,FAIRY, FLYING
Sprigatito,GRASS,
Floragato,GRASS,
Meowscarada,GRASS, DARK
Fuecoco,FIRE,
Crocalor,FIRE,
Skeledirge,FIRE, GHOST
Quaxly,WATER,
Quaxwell,WATER,
Quaquaval,WATER, FIGHTING
Lechonk,NORMAL,
Oinkologne,NORMAL,
Oinkologne,NORMAL,
Nymble,BUG,
Lokix,BUG, DARK
Pawmi,ELECTRIC,
Pawmo,ELECTRIC, FIGHTING
Pawmot,ELECTRIC, FIGHTING
Tandemaus,NORMAL,
Maushold,NORMAL,
Maushold,NORMAL,
Smoliv,GRASS, NORMAL
Dolliv,GRASS, NORMAL
Arboliva,GRASS, NORMAL
Charcadet,FIRE,
Armarouge,FIRE, PSYCHIC
Ceruledge,FIRE, GHOST
Tadbulb,ELECTRIC,
Bellibolt,ELECTRIC,
Wiglett,WATER,
Wugtrio,WATER,
Bombirdier,FLYING, DARK
Varoom,STEEL, POISON
Revavroom,STEEL, POISON
Greavard,GHOST,
Houndstone,GHOST,
Cetoddle,ICE,
Cetitan,ICE,
Annihilape,FIGHTING, GHOST
Clodsire,POISON, GROUND
Frigibax,DRAGON, ICE
Arctibax,DRAGON, ICE
Baxcalibur,DRAGON, ICE
Gimmighoul,GHOST,
Gholdengo,STEEL, GHOST
Sinistea,GHOST
